Aggregation, [ˌæɡrɪˈɡeɪʃən]
AudioFeature, [ˌɔːdiəʊˈfiːtʃə]
Context, [ˈkɒntɛkst]
FeatureExtractor, [ˈfiːtʃər ɪkˈstræk.tər]
Filter, [ˈfɪltər]
FirstOperation, [fɜːst ˌɒpəˈreɪʃən]
Identifier, [aɪˈdɛntɪfaɪər]
Instance, [ˈɪnstəns]
LastOperation, [læst ˌɒpəˈreɪʃən]
Model, [ˈmɒdl]
Operation, [ˌɒpəˈreɪʃən]
OperationSequence, [ˌɒpəˈreɪʃən ˈsiːkwəns]
OptionalOperation, [ˈɒpʃənl ˌɒpəˈreɪʃən]
Parameter, [pəˈræmɪtə]
Point, [pɔɪnt]
Segment, [ˈsɛɡmənt]
Signal, [ˈsɪɡnəl]
Transformation, [ˌtrænsfəˈmeɪʃən]
agent, [ˈeɪdʒənt]
collection, [kəˈlɛkʃən]
computed_by, [kəmˈpjuːtɪd baɪ]
context, [ˈkɒntɛkst]
described_in, [dɪsˈkraɪbd ɪn]
dimensions, [daɪˈmɛnʃənz]
feature, [ˈfiːtʃə]
first, [fɜːst]
